Real,Prediccion,Riesgo
23.0,23.87744,MEDIO (Moderado)
14.75,15.660982,MEDIO (Moderado)
29.0,30.987913,MEDIO (Moderado)
15.75,15.813904,MEDIO (Moderado)
0.0,1.5437251,BAJO (Bueno)
10.8333333333333,10.783808,BAJO (Bueno)
37.75,39.420044,ALTO (Dañino Sensible)
15.6363636363636,16.106768,MEDIO (Moderado)
54.25,55.64524,MUY ALTO (Dañino)
0.0,1.5485467,BAJO (Bueno)
72.25,72.062355,MUY ALTO (Dañino)
4.91666666666667,5.7953014,BAJO (Bueno)
55.00000000000001,55.649315,MUY ALTO (Dañino)
11.9166666666667,12.009557,MEDIO (Moderado)
3.4999999999999996,4.92378,BAJO (Bueno)
46.9721254355401,48.843674,ALTO (Dañino Sensible)
5.4166666666666705,5.402099,BAJO (Bueno)
12.3846153846154,12.934572,MEDIO (Moderado)
42.4166666666667,43.58065,ALTO (Dañino Sensible)
4.75,5.6647754,BAJO (Bueno)
0.0,1.7518167,BAJO (Bueno)
58.0833333333333,58.94422,MUY ALTO (Dañino)
80.3333333333333,81.188545,MUY ALTO (Dañino)
8.33333333333333,8.742193,BAJO (Bueno)
38.25,40.38785,ALTO (Dañino Sensible)
6.16666666666667,6.561519,BAJO (Bueno)
13.5,13.517008,MEDIO (Moderado)
5.25,6.5146446,BAJO (Bueno)
32.8333333333333,34.565952,MEDIO (Moderado)
26.5833333333333,27.90756,MEDIO (Moderado)
13.0,12.66425,MEDIO (Moderado)
16.0,16.000685,MEDIO (Moderado)
10.0,10.376675,BAJO (Bueno)
38.25,39.352173,ALTO (Dañino Sensible)
5.5,5.9231358,BAJO (Bueno)
18.0,18.09151,MEDIO (Moderado)
38.9166666666667,41.154194,ALTO (Dañino Sensible)
6.91666666666667,7.66595,BAJO (Bueno)
5.08333333333333,6.110711,BAJO (Bueno)
5.16666666666667,5.832391,BAJO (Bueno)
33.4166666666667,35.411526,MEDIO (Moderado)
0.0,0.0,BAJO (Bueno)
1.0,2.4146266,BAJO (Bueno)
24.249999999999996,25.724815,MEDIO (Moderado)
27.333333333333304,29.315044,MEDIO (Moderado)
13.0,13.034568,MEDIO (Moderado)
3.9166666666666696,5.5557985,BAJO (Bueno)
3.16666666666667,4.98004,BAJO (Bueno)
22.0833333333333,22.738304,MEDIO (Moderado)
4.08333333333333,4.83082,BAJO (Bueno)
4.0,5.6603847,BAJO (Bueno)
20.9166666666667,22.424028,MEDIO (Moderado)
53.25,53.532375,ALTO (Dañino Sensible)
24.749999999999996,25.678755,MEDIO (Moderado)
28.9166666666667,30.639395,MEDIO (Moderado)
22.0,22.452919,MEDIO (Moderado)
0.0,1.885455,BAJO (Bueno)
76.0833333333333,76.74908,MUY ALTO (Dañino)
16.4166666666667,16.63429,MEDIO (Moderado)
6.5,5.7441144,BAJO (Bueno)
13.0,13.881582,MEDIO (Moderado)
2.33333333333333,3.2388027,BAJO (Bueno)
6.333333333333331,6.5698934,BAJO (Bueno)
2.25,4.0326476,BAJO (Bueno)
6.333333333333331,6.9709573,BAJO (Bueno)
0.0,1.6133425,BAJO (Bueno)
22.4166666666667,23.059216,MEDIO (Moderado)
